t,jd,N,i,w,a,e,M
2020-01-01 00:00:00.000,2458849.5,113.5931802774887,2.489867716142269,337.7632395933414,9.581741765358233,0.0509247768266665,203.0347403543479
2020-01-04 15:40:19.200,2458853.153,113.5946898894693,2.486951933252682,337.9054152609743,9.578687084911534,0.0512330308579741,203.0118713982195
2020-01-08 07:20:38.400,2458856.806,113.5968026191567,2.482580456747524,338.0655774811065,9.578692641774314,0.0511707713443659,202.9523154341549
2020-01-11 23:00:57.600,2458860.459,113.5959357711387,2.484610612297616,337.9314920641111,9.58187214225084,0.0508443203945675,203.2076088801288
2020-01-15 14:41:16.800,2458864.112,113.5941364134739,2.489176278257035,337.7289244097887,9.58246369263637,0.0508524356832129,203.5537139782145
2020-01-19 06:21:36.000,2458867.765,113.5942669041701,2.488736709517897,337.7723114412245,9.579656255239628,0.0511702279785203,203.6416291949747
2020-01-22 22:01:55.200,2458871.418,113.5957648230023,2.483788117423817,337.9786073437777,9.577992634483705,0.0512874123640135,203.5401197195799
2020-01-26 13:42:14.400,2458875.071,113.5959798893143,2.483061869242643,337.9586044649646,9.580729462600951,0.0509687128531745,203.668986380263
2020-01-30 05:22:33.600,2458878.724,113.594951093315,2.487873993851439,337.7253077149496,9.58277432752488,0.0508166401748577,204.0406700720557
2020-02-02 21:02:52.800,2458882.377,113.594630644108,2.489633883745204,337.6717026814139,9.580726958715852,0.0510832185098267,204.2334901565099
2020-02-06 12:43:12.000,2458886.03,113.5951133951762,2.485664985192439,337.855065861133,9.578089140704192,0.0513253104212962,204.1642321686217
2020-02-10 04:23:31.200,2458889.683,113.5953857291707,2.482619188840002,337.9454648814126,9.579473614729254,0.0511230385596142,204.1768499056155
2020-02-13 20:03:50.400,2458893.336,113.5952816525343,2.486097078428762,337.7505060227189,9.58249581227347,0.0508393324273315,204.4992071249261
2020-02-17 11:44:09.600,2458896.989,113.5952931008067,2.489623945927116,337.6049651344073,9.581897951087026,0.0509705477697546,204.7863915993302
2020-02-21 03:24:28.800,2458900.642,113.5951576859513,2.487542470568152,337.7222654053665,9.578796703390154,0.0512953471101187,204.794538518779
2020-02-24 19:04:48.000,2458904.295,113.5947203578868,2.482970306488268,337.9003751717611,9.578312086052415,0.0512802199449594,204.7202691650782
2020-02-28 10:45:07.200,2458907.948,113.594945957592,2.484329322130955,337.7837059294591,9.5816737102885,0.0509237216742366,204.9526752803702
2020-03-03 02:25:26.400,2458911.601,113.5958088010387,2.488972604920151,337.5667988035317,9.58272117986519,0.0508875571307092,205.3092759303341
2020-03-06 18:05:45.600,2458915.254,113.5957543332243,2.488860829802362,337.6017031895202,9.57990811660616,0.0512127476090727,205.4081004324005
2020-03-10 09:46:04.800,2458918.907,113.5944367369792,2.484132662929938,337.8101510315796,9.577883926816094,0.0513694517711993,205.309820390315
2020-03-14 01:26:24.000,2458922.56,113.5941053577662,2.483015201507685,337.8054981501644,9.580332394509345,0.0510755645721244,205.4226178634547
2020-03-17 17:06:43.200,2458926.213,113.595774402518,2.487550409723443,337.5690488354693,9.582813447870084,0.050875441407632,205.79174580853
2020-03-21 08:47:02.400,2458929.866,113.5966283338022,2.489687843289941,337.4927652260127,9.581290558239491,0.0510928787754829,206.0064979858969
2020-03-25 00:27:21.600,2458933.519,113.594961684099,2.486059222122039,337.6737260334169,9.578320636261124,0.0513754380083642,205.9452034554208
