t,jd,N,i,w,a,e,M
2027-05-16 06:15:50.400,2461541.761,49.4726208459489,1.847449263152592,286.7447804212214,1.523689322655576,0.093453603614214,217.853945330748
2027-05-19 21:56:09.600,2461545.414,49.47257958502833,1.847450815156594,286.7462487463562,1.523684374014439,0.0934562019597856,219.7667682677351
2027-05-23 13:36:28.800,2461549.067,49.47254189411908,1.847452318528152,286.7477054611667,1.523679475557395,0.0934587510900892,221.679619134183
2027-05-27 05:16:48.000,2461552.72,49.47251283368149,1.847453548542403,286.7491451673935,1.523674658750354,0.0934612245183973,223.5924958906632
2027-05-30 20:57:07.200,2461556.373000001,49.4724859890282,1.847454755756341,286.7505605930475,1.523669960347694,0.0934636095339085,225.5054126373197
2027-06-03 12:37:26.400,2461560.026000001,49.47246579815876,1.847455721894664,286.7519486051623,1.523665386742961,0.0934658993618364,227.4183664572337
2027-06-07 04:17:45.600,2461563.679,49.47244711662133,1.847456674362052,286.7532976754279,1.523660981852801,0.0934680795174292,229.3313742373075
2027-06-10 19:58:04.800,2461567.332,49.47243271839849,1.847457458658929,286.7546090223058,1.523656731090615,0.093470159580958,231.244431066181
2027-06-14 11:38:24.000,2461570.985,49.47242003766932,1.847458197765974,286.75587002757,1.523652677998796,0.0934721234228862,233.1575515877483
2027-06-18 03:18:43.200,2461574.638,49.47240948223323,1.847458858963831,286.7570840095746,1.523648801175866,0.0934739891818213,235.0707318687965
2027-06-21 18:59:02.400,2461578.291,49.47240120476641,1.84745941717839,286.758240557652,1.523645134033557,0.0934757420881761,236.9839807971109
2027-06-25 10:39:21.600,2461581.944000001,49.47239342790024,1.847459985213856,286.7593418306041,1.523641661852795,0.0934774012354282,238.8972983136402
2027-06-29 02:19:40.800,2461585.597000001,49.47238826877282,1.847460394450766,286.7603827045555,1.5236383992756,0.0934789571030326,240.8106854799154
2027-07-02 18:00:00.000,2461589.25,49.47238268890447,1.847460878658602,286.7613614651363,1.523635347297097,0.0934804233932658,242.7241474750799
2027-07-06 09:40:19.200,2461592.903,49.4723795390444,1.847461179273352,286.7622796143885,1.52363249934174,0.0934817979560238,244.6376778451583
2027-07-10 01:20:38.400,2461596.556,49.47237569412641,1.847461586525549,286.7631301058776,1.523629875456872,0.0934830846263967,246.5512867371598
2027-07-13 17:00:57.600,2461600.209,49.47237354894395,1.847461841604609,286.7639188773261,1.523627455681543,0.0934842872892219,248.4649639518231
2027-07-17 08:41:16.800,2461603.862,49.47237076920256,1.847462217168518,286.764632209881,1.523625280111584,0.0934853978901235,250.3787246585925
2027-07-21 00:21:36.000,2461607.515000001,49.47236854899739,1.84746256618435,286.7652723799735,1.523623337108521,0.0934864233091819,252.2925642003277
2027-07-24 16:01:55.200,2461611.168000001,49.47236572721866,1.847463091463782,286.7658156940797,1.52362168944626,0.0934873495626505,254.2065061472127
2027-07-28 07:42:14.400,2461614.821,49.4723624961897,1.847463831973492,286.766252278355,1.523620351207994,0.0934881959853339,256.1205609576348
2027-07-31 23:22:33.600,2461618.474,49.47235914898741,1.847464819445547,286.7665610031776,1.523619369042059,0.0934889712721562,258.0347496148741
2027-08-04 15:02:52.800,2461622.127,49.47235595568286,1.847466145408325,286.7667455101887,1.523618720236154,0.0934897255882286,259.9490712096077
2027-08-08 06:43:12.000,2461625.78,49.47235398283055,1.847467520198454,286.7668267402528,1.52361834961609,0.0934904859577987,261.8635034692592
2027-08-11 22:23:31.200,2461629.433,49.47235329280111,1.847469050789565,286.7668291886031,1.523618196756499,0.0934912833399111,263.7780224527926
2027-08-15 14:03:50.400,2461633.086000001,49.47235399960601,1.847470366845472,286.7667846279545,1.523618190224678,0.0934921170997997,265.6925936133396
2027-08-19 05:44:09.600,2461636.739000001,49.47235607089539,1.847471715027117,286.7666968164139,1.52361832616389,0.0934929858181013,267.6072120357485
2027-08-22 21:24:28.800,2461640.392,49.47235884640384,1.847472804205877,286.7665854900272,1.523618562173698,0.0934938841012995,269.5218566838578
2027-08-26 13:04:48.000,2461644.045,49.47236271413982,1.847473888260978,286.7664409755463,1.5236189246797,0.093494803990926,271.4365355173055
2027-08-30 04:45:07.200,2461647.698,49.47236681637762,1.847474777649737,286.7662783036021,1.523619381136945,0.0934957489985086,273.3512338443881
2027-09-02 20:25:26.400,2461651.351,49.47237152797946,1.847475610408494,286.766088902648,1.523619953397771,0.093496709548588,275.2659582796521
2027-09-06 12:05:45.600,2461655.004000001,49.4723764227666,1.847476336447996,286.7658833593874,1.523620619026899,0.0934976950582368,277.1806990759279
2027-09-10 03:46:04.800,2461658.657000001,49.47238107980029,1.847476931923407,286.7656609244794,1.523621380580343,0.093498694285096,279.0954555921563
2027-09-13 19:26:24.000,2461662.310000001,49.47238614117684,1.847477497364024,286.7654250791686,1.523622231443762,0.0934997180038652,281.0102244541293
2027-09-17 11:06:43.200,2461665.963,49.47238980788381,1.847477861383948,286.7651850648881,1.523623151132992,0.0935007545573269,282.9249965575567
2027-09-21 02:47:02.400,2461669.616,49.47239405332463,1.847478238285339,286.7649366822271,1.523624148807383,0.0935018124702489,284.8397746872926
2027-09-24 18:27:21.600,2461673.269,49.47239570905887,1.847478371718678,286.7646974486993,1.523625186205815,0.0935028817294112,286.7545434259562
2027-09-28 10:07:40.800,2461676.922,49.47239772447754,1.847478519060575,286.7644577669108,1.523626281544978,0.0935039655438209,288.6693093816136
