t,jd,N,i,w,a,e,M
2020-01-01 00:00:00.000,2458849.5,48.30652325667018,7.00379332083725,29.18253169088682,0.3870976597108074,0.2056502795645833,187.2506755427432
2020-01-04 15:40:19.200,2458853.153,48.30650615510571,7.003790761153896,29.18263205096968,0.3870976463480678,0.2056502417178685,202.1999245293616
2020-01-08 07:20:38.400,2458856.806,48.3064852020432,7.003788569763355,29.18274828976969,0.387097575600366,0.2056502913232489,217.1491651933542
2020-01-11 23:00:57.600,2458860.459,48.30646215927935,7.003786942357431,29.18288153628191,0.3870974521724322,0.2056504104417969,232.0984027417156
2020-01-15 14:41:16.800,2458864.112,48.30643926582502,7.003785979738191,29.18302657363507,0.3870972918711119,0.2056505634930839,247.0476468239945
2020-01-19 06:21:36.000,2458867.765,48.30641888264445,7.003785663403042,29.18316975698875,0.3870971215216598,0.2056507105654404,261.9969123556965
2020-01-22 22:01:55.200,2458871.418,48.30640308627493,7.003785847577119,29.18328938199662,0.3870969773609224,0.2056508264131446,276.9462181639445
2020-01-26 13:42:14.400,2458875.071,48.3063932622676,7.003786266995943,29.18335959273264,0.387096901254494,0.2056509196810635,291.8955825359175
2020-01-30 05:22:33.600,2458878.724,48.30638971028912,7.003786555387431,29.18335855909913,0.3870969327828459,0.2056510419349995,306.8450151577268
2020-02-02 21:02:52.800,2458882.377,48.30639115847827,7.003786274657534,29.1832807114243,0.3870970916565869,0.2056512668976413,321.7945063012766
2020-02-06 12:43:12.000,2458886.03,48.30639399972845,7.003785009023997,29.18314880128345,0.3870973413083352,0.2056516110730989,336.7440197358945
2020-02-10 04:23:31.200,2458889.683,48.30639209100569,7.003782698999083,29.18300820151234,0.3870975544393238,0.205651925979823,351.6935104526358
2020-02-13 20:03:50.400,2458893.336,48.30638050513912,7.003780058650974,29.18288708978659,0.3870975974600982,0.2056520068742505,6.642973516440728
2020-02-17 11:44:09.600,2458896.989,48.30636037235227,7.003778060753816,29.18278096367856,0.3870974937855833,0.2056518997401502,21.59243933626578
2020-02-21 03:24:28.800,2458900.642,48.30633551669573,7.003777119282797,29.18268590613505,0.3870973469522827,0.2056517839282261,36.54191792671688
2020-02-24 19:04:48.000,2458904.295,48.30630908235786,7.003777275696811,29.18260060402619,0.3870972020976389,0.2056517288804303,51.4914053240206
2020-02-28 10:45:07.200,2458907.948,48.30628482451868,7.003778388270733,29.18252035758551,0.3870970616284544,0.2056517219429568,66.4409012587382
2020-03-03 02:25:26.400,2458911.601,48.30626669609605,7.003780019327281,29.18244798159002,0.3870969353740023,0.2056517329446359,81.39040023065066
2020-03-06 18:05:45.600,2458915.254,48.30625643476757,7.003781537445032,29.18239614243656,0.3870968490806922,0.2056517206444606,96.33988674943429
2020-03-10 09:46:04.800,2458918.907,48.30625280838479,7.003782402011567,29.1823759281002,0.3870968258409797,0.2056516350759219,111.2893449616562
2020-03-14 01:26:24.000,2458922.56,48.30625282882916,7.003782319897122,29.18238867076392,0.3870968731947939,0.2056514361497307,126.2387672708419
2020-03-17 17:06:43.200,2458926.213,48.30625314145031,7.003781238826233,29.18242700835686,0.3870969829687219,0.2056511103066701,141.188154835131
2020-03-21 08:47:02.400,2458929.866,48.3062508383945,7.003779285903613,29.18248007755533,0.3870971363360101,0.2056506748244903,156.137513804616
2020-03-25 00:27:21.600,2458933.519,48.30624384507342,7.003776709188495,29.18253834319849,0.3870973090697835,0.2056501716600944,171.0868513672621
2020-03-28 16:07:40.800,2458937.172,48.30623110740625,7.003773828390361,29.18259646204796,0.3870974759189963,0.2056496553283711,186.036173189468
2020-04-01 07:48:00.000,2458940.825,48.30621266782082,7.003770987570374,29.18265394191452,0.3870976142997619,0.2056491787129833,200.9854825522323
2020-04-04 23:28:19.200,2458944.478,48.3061896284602,7.003768506132164,29.1827138302738,0.3870977074604466,0.2056487802745797,215.9347810216253
2020-04-08 15:08:38.400,2458948.131,48.30616397649952,7.003766630386658,29.1827799734878,0.3870977470190025,0.2056484758324961,230.8840702146852
2020-04-12 06:48:57.600,2458951.784,48.30613826061601,7.003765492313232,29.18285371656125,0.3870977345777211,0.2056482573796062,245.8333539381067
2020-04-15 22:29:16.800,2458955.437,48.30611513787994,7.003765084007888,29.18293121580103,0.387097681995955,0.2056480999210056,260.7826397234863
2020-04-19 14:09:36.000,2458959.09,48.30609684497242,7.003765255932779,29.18300267689975,0.3870976098211364,0.2056479749443086,275.73193868754
2020-04-23 05:49:55.200,2458962.743,48.30608468089493,7.003765744759082,29.18305459172437,0.3870975433592367,0.2056478658895224,290.6812629120537
2020-04-26 21:30:14.400,2458966.396,48.30607861796982,7.003766232382465,29.18307510840473,0.387097506014904,0.2056477775820623,305.6306204628349
2020-04-30 13:10:33.600,2458970.049,48.3060771825926,7.003766430851508,29.1830606851143,0.3870975102444094,0.205647730332298,320.5800100512601
2020-05-04 04:50:52.800,2458973.702,48.3060777526789,7.003766176321666,29.18301945047705,0.3870975485801933,0.20564773555958,335.5294197949889
2020-05-07 20:31:12.000,2458977.355,48.30607734611189,7.003765497743765,29.18296603226547,0.3870975909514791,0.2056477684434613,350.4788346645835
2020-05-11 12:11:31.200,2458981.008,48.30607372953703,7.00376461391388,29.18290934391453,0.3870975960011551,0.2056477715604969,5.428249890597233
2020-05-15 03:51:50.400,2458984.661,48.30606632094775,7.003763835733076,29.18284627169652,0.3870975349568827,0.205647701171597,20.37767626672801
2020-05-18 19:32:09.600,2458988.314,48.30605631482332,7.003763417097068,29.18277098810897,0.3870974107204381,0.2056475666021315,35.32712782870436
2020-05-22 11:12:28.800,2458991.967,48.30604599685405,7.003763440600071,29.18268872972169,0.3870972563071574,0.2056474116311956,50.27660475517669
2020-05-26 02:52:48.000,2458995.62,48.30603776468737,7.003763784885807,29.18261776998221,0.3870971181408635,0.2056472630066281,65.22608942808337
2020-05-29 18:33:07.200,2458999.273,48.30603333521431,7.003764155418876,29.18258039022553,0.3870970398444054,0.2056471002105699,80.17555526849893
2020-06-02 10:13:26.400,2459002.926,48.30603326825509,7.003764140224161,29.18259308915705,0.3870970537979573,0.2056468605489744,95.12497754341898
2020-06-06 01:53:45.600,2459006.579,48.30603672232477,7.003763267797471,29.18266170159438,0.3870971788728188,0.2056464627760007,110.0743397652173
2020-06-09 17:34:04.800,2459010.232,48.30604133661019,7.003761062835617,29.18278140372496,0.3870974208388162,0.2056458325689666,125.0236352841532
2020-06-13 09:14:24.000,2459013.885,48.30604319235764,7.003757105738912,29.1829397413891,0.3870977731905699,0.2056449225164885,139.9728657893642
2020-06-17 00:54:43.200,2459017.538,48.30603688950464,7.003751106249404,29.18312111037951,0.3870982174947031,0.2056437251396196,154.922038273753
2020-06-20 16:35:02.400,2459021.191,48.30601587828221,7.003743000559992,29.18331170001375,0.3870987232644885,0.2056422789243346,169.8711614216589
2020-06-24 08:15:21.600,2459024.844,48.30597329075059,7.003733068647987,29.18350412569642,0.3870992480259057,0.2056406665175812,184.8202420065285
2020-06-27 23:55:40.800,2459028.497,48.30590352585348,7.003722038571166,29.18370084135798,0.3870997384096655,0.2056390039200107,199.7692818096462
2020-07-01 15:36:00.000,2459032.15,48.30580465015272,7.003711109638493,29.18391536685686,0.3871001322602817,0.2056374223757082,214.7182757211807
2020-07-05 07:16:19.200,2459035.803,48.30568132111405,7.003701809266269,29.18417024738336,0.3871003619766512,0.205636046969775,229.6672125831038
2020-07-08 22:56:38.400,2459039.456,48.30554705044279,7.003695584944515,29.18448862364736,0.3871003661999441,0.2056349674161111,244.6160830930976
2020-07-12 14:36:57.600,2459043.109,48.30542240018868,7.003693114871214,29.18487529892119,0.3871001224015163,0.205634194619627,259.5648987040115
2020-07-16 06:17:16.800,2459046.762,48.3053261175103,7.003693785976273,29.18529729720564,0.3870996848204526,0.2056336429468061,274.5137085178919
2020-07-19 21:57:36.000,2459050.415,48.30526531376648,7.003696050663903,29.18569059368546,0.387099176176417,0.2056331964405838,289.4625863199649
2020-07-23 13:37:55.200,2459054.068,48.30523488019756,7.00369838713632,29.18599397629313,0.387098729219425,0.205632807693788,304.4115919447237
2020-07-27 05:18:14.400,2459057.721,48.30522417971986,7.003699887759463,29.18617840942224,0.3870984361954359,0.2056325251505026,319.3607430910734
2020-07-30 20:58:33.600,2459061.374,48.30522269899888,7.003700275880443,29.18625542054002,0.3870983313385064,0.2056324368988841,334.3100121866817
2020-08-03 12:38:52.800,2459065.027,48.30522238878484,7.003699725437722,29.18626677161876,0.387098391072133,0.2056325828866924,349.2593424968656
2020-08-07 04:19:12.000,2459068.68,48.30521839494832,7.00369867719568,29.18625874761807,0.3870985462254218,0.2056329009805081,4.208678206855549
2020-08-10 19:59:31.200,2459072.333,48.30520916715757,7.003697646667857,29.18625498879699,0.3870987121024967,0.2056332616321909,19.15799339506673
2020-08-14 11:39:50.400,2459075.986,48.30519584762123,7.003697036869415,29.18625157137746,0.387098826034308,0.2056335625237822,34.1072957525525
2020-08-18 03:20:09.600,2459079.639,48.3051810112362,7.003697025643221,29.18623574221341,0.3870988666021767,0.2056337806273976,49.05660468797969
2020-08-21 19:00:28.800,2459083.292,48.30516734739842,7.003697561229548,29.1862037556139,0.3870988464142458,0.2056339449927455,64.00593027553722
2020-08-25 10:40:48.000,2459086.945,48.30515678817866,7.003698429747589,29.18616347510889,0.3870987937300794,0.2056340860395738,78.9552686965432
2020-08-29 02:21:07.200,2459090.598,48.30515015906949,7.00369934089325,29.18612765931481,0.387098737712441,0.2056342095958197,93.90460840208446
2020-09-01 18:01:26.400,2459094.251,48.30514718879889,7.003700001403909,29.18610711886726,0.387098700864592,0.2056342983887836,108.8539373352502
2020-09-05 09:41:45.600,2459097.904,48.30514670823877,7.00370016848495,29.18610735993462,0.387098696475184,0.2056343258979458,123.8032470989131
2020-09-09 01:22:04.800,2459101.557,48.30514693615194,7.003699684985758,29.18612845321729,0.38709872852974,0.2056342708452361,138.7525340198921
2020-09-12 17:02:24.000,2459105.21,48.30514580319677,7.003698499448856,29.18616682941583,0.3870987926572303,0.2056341270405173,153.7017982543533
2020-09-16 08:42:43.200,2459108.863,48.30514129045994,7.003696672689368,29.18621782521657,0.3870988775693742,0.2056339070770182,168.6510420313581
2020-09-20 00:23:02.400,2459112.516,48.30513176268622,7.003694370972582,29.18627809326916,0.3870989669150952,0.2056336400108824,183.6002678597786
2020-09-23 16:03:21.600,2459116.169,48.30511626845393,7.003691845148524,29.18634718818321,0.3870990416503821,0.2056333639897454,198.5494773153907
2020-09-27 07:43:40.800,2459119.822,48.30509476721737,7.003689395726987,29.18642779004379,0.3870990830239079,0.2056331155966447,213.4986708611572
